Fund Name,AUM,5 Year return,Logo URL
ICICI Prudential Energy Opportunities Fund Direct Growth,10122.7119144,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Axis Silver FoF Direct Growth,213.033,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
UTI Silver ETF FoF Direct Growth,116.0352,NA,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
Parag Parikh Liquid Fund Direct Growth,4024.3767,5.43,https://assets-netstorage.groww.in/mf-assets/logos/ppfas_groww.png
Bandhan Large & Mid Cap Fund Direct Growth,10230.745,26.68,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
Axis Multicap Fund Direct Growth,8328.621199,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
SBI Technology Opportunities Fund Direct Growth,4760.8895,22.01,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
ICICI Prudential Smallcap Fund Direct Plan Growth,8441.09110594,28.82,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Tata Nifty Capital Markets Index Fund Direct Growth,308.35294062,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
SBI Automotive Opportunities Fund Direct Growth,5236.1777,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Nippon India Flexi Cap Fund Direct Growth,9097.8376,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Nippon India Ultra Short Duration Fund Direct Growth,11075.9924,7.48,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Quantum Gold Savings Fund Direct Growth,244.0026,16.76,https://assets-netstorage.groww.in/mf-assets/logos/quantum_groww.png
SBI Nifty Index Direct Plan Growth,10048.04702564,18.04,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Tata India Pharma & Healthcare Fund Direct Growth,1308.56285431,18.89,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Nippon India Nifty Midcap 150 Index Fund Direct Growth,1857.2112,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
JM Aggressive Hybrid Fund Direct Growth,804.3745546,22.72,https://assets-netstorage.groww.in/mf-assets/logos/jm_groww.png
Nippon India Pharma Fund Direct Growth,8357.031,18.14,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
HDFC ELSS Tax Saver Fund Direct Plan Growth,16525.2792,26.25,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Nippon India Liquid Fund Direct Growth,30964.8265,5.74,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
HDFC Corporate Bond Fund Direct Plan Growth,35821.3915,6.63,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
ICICI Prudential India Opportunities Fund Direct Growth,29871.09511888,33.23,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Mahindra Manulife Small Cap Fund Direct Growth,3981.1151,NA,https://assets-netstorage.groww.in/mf-assets/logos/mahindra_groww.png
HDFC Income Plus Arbitrage Active FoF Direct Growth,1617.5047,15.79,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
HDFC Nifty500 Multicap 50:25:25 Index Fund Direct Growth,438.4633,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Axis Large & Mid Cap Fund Direct Growth,14711.224904,22.9,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
WhiteOak Capital Multi Asset Allocation Fund Direct Growth,3421.65112155,NA,https://assets-netstorage.groww.in/mf-assets/logos/whiteoak_groww.png
Edelweiss Small Cap Fund Direct Growth,4921.0137,29.99,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
Nippon India Multi Asset Omni FoF Direct Growth,1051.9393,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Quant Multi Cap Fund Direct Growth,9200.3409,23.96,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
SBI Banking & Financial Services Fund Direct Growth,8370.7579,23.75,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
HDFC Retirement Savings Fund Equity Plan Direct Growth,6584.0839,25.6,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Axis Greater China Equity FoF Direct Growth,827.8444,NA,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
HSBC Credit Risk Fund Direct Growth,584.0143,9.44,https://assets-netstorage.groww.in/mf-assets/logos/hsbc_groww.png
Franklin India Flexi Cap Fund Direct Growth,18726.70637734,25.25,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
Bajaj Finserv Flexi Cap Fund Direct Growth,5409.540402,NA,https://assets-netstorage.groww.in/mf-assets/logos/bajaj_groww.png
HDFC Innovation Fund Direct Growth,2517.6654,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Kotak Flexicap Fund Direct Growth,53625.831,20.31,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
DSP India T.I.G.E.R. (The Infrastructure Growth and Economic Reforms Fund) Direct Growth,5303.2364,34.38,https://assets-netstorage.groww.in/mf-assets/logos/dsp_groww.png
ICICI Prudential Balanced Advantage Direct Growth,65710.60617567,15.3,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Motilal Oswal Large Cap Fund Direct Growth,2701.2402,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Nippon India Nifty IT Index Fund Direct Growth,148.5379,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
HDFC Nifty Smallcap 250 Index Fund Direct Growth,528.3133,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
SBI Focused Fund Direct Plan Growth,37763.8,20.97,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
HSBC Small Cap Fund Direct Growth,15885.784,30.15,https://assets-netstorage.groww.in/mf-assets/logos/hsbc_groww.png
HDFC Hybrid Debt Fund Direct Growth,3342.1047,11.9,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
ICICI Prudential Corporate Bond Fund Direct Plan Growth,33452.54693215,6.84,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Tata Nifty 50 Index Direct,1296.46489187,17.97,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Groww Multicap Fund Direct Growth,162.93561533,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
Franklin India Small Cap Fund Direct Growth,13302.3176145,29.26,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
Parag Parikh Arbitrage Fund Direct Growth,1850.3879,NA,https://assets-netstorage.groww.in/mf-assets/logos/ppfas_groww.png
SBI Infrastructure Fund Direct Growth,4835.9226,27.98,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Axis ELSS Tax Saver Direct Plan Growth,34527.719602,16.23,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
